img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000006.jpg,0.182,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000008.jpg,0.712,1,4,1,1,0.286,0.2,0.5,0.286,0.5,0.8,
batch_1/000010.jpg,0.404,1,2,1,2,0.5,0.333,0.5,0.4,0.5,0.5,
batch_1/000019.jpg,0.747,0,1,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000026.jpg,0.584,1,2,0,3,0.667,0.333,1.0,0.5,1.0,0.4,
batch_1/000047.jpg,0.579,2,4,4,1,0.273,0.333,0.333,0.333,0.333,0.8,
batch_1/000055.jpg,0.694,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000001.jpg,0.62,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000005.jpg,0.376,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000007.jpg,0.364,0,5,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000012.jpg,0.167,1,0,1,4,0.833,1.0,0.5,0.667,0.5,0.0,
batch_1/000014.jpg,0.511,1,1,5,2,0.333,0.5,0.167,0.25,0.167,0.333,
batch_1/000048.jpg,0.521,7,0,3,4,0.786,1.0,0.7,0.824,0.7,0.0,
batch_1/000053.jpg,0.363,3,3,1,4,0.636,0.5,0.75,0.6,0.75,0.429,
batch_1/000056.jpg,0.613,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000058.jpg,0.597,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000060.jpg,0.179,1,4,1,3,0.444,0.2,0.5,0.286,0.5,0.571,
batch_1/000003.jpg,0.021,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000011.jpg,0.931,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000032.jpg,0.577,1,3,1,1,0.333,0.25,0.5,0.333,0.5,0.75,
batch_1/000040.jpg,0.331,0,4,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000043.jpg,0.818,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000049.jpg,0.604,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
