img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000006.jpg,0.269,1,1,0,1,0.667,0.5,1.0,0.667,1.0,0.5,
batch_1/000008.jpg,0.784,1,0,1,2,0.75,1.0,0.5,0.667,0.5,0.0,
batch_1/000010.jpg,0.511,1,0,1,1,0.667,1.0,0.5,0.667,0.5,0.0,
batch_1/000019.jpg,0.69,2,1,2,1,0.5,0.667,0.5,0.571,0.5,0.5,
batch_1/000026.jpg,0.388,1,2,0,2,0.6,0.333,1.0,0.5,1.0,0.5,
batch_1/000047.jpg,0.597,0,3,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000055.jpg,0.679,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000001.jpg,0.908,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000005.jpg,0.918,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000007.jpg,0.244,0,6,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000012.jpg,0.794,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000014.jpg,0.485,1,1,5,3,0.4,0.5,0.167,0.25,0.167,0.25,
batch_1/000048.jpg,0.429,2,0,8,3,0.385,1.0,0.2,0.333,0.2,0.0,
batch_1/000053.jpg,0.219,1,8,3,1,0.154,0.111,0.25,0.154,0.25,0.889,
batch_1/000056.jpg,0.669,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000058.jpg,0.796,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000060.jpg,0.223,1,3,1,1,0.333,0.25,0.5,0.333,0.5,0.75,
batch_1/000003.jpg,0.926,1,1,0,1,0.667,0.5,1.0,0.667,1.0,0.5,
batch_1/000011.jpg,0.241,1,1,0,1,0.667,0.5,1.0,0.667,1.0,0.5,
batch_1/000032.jpg,0.77,1,4,1,1,0.286,0.2,0.5,0.286,0.5,0.8,
batch_1/000040.jpg,0.331,0,4,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000043.jpg,0.741,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000049.jpg,0.537,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000054.jpg,0.769,0,0,4,0,0.0,0,0.0,0,0.0,0,
