img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000006.jpg,0.201,1,5,0,1,0.286,0.167,1.0,0.286,1.0,0.833,
batch_1/000008.jpg,0.682,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000010.jpg,0.345,1,0,1,2,0.75,1.0,0.5,0.667,0.5,0.0,
batch_1/000019.jpg,0.439,0,4,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000026.jpg,0.539,1,1,0,2,0.75,0.5,1.0,0.667,1.0,0.333,
batch_1/000047.jpg,0.728,0,4,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000055.jpg,0.664,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000001.jpg,0.731,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,
batch_1/000005.jpg,0.263,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000007.jpg,0.294,0,5,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000012.jpg,0.288,1,0,1,2,0.75,1.0,0.5,0.667,0.5,0.0,
batch_1/000014.jpg,0.648,1,2,5,1,0.222,0.333,0.167,0.222,0.167,0.667,
batch_1/000048.jpg,0.44,2,4,8,6,0.4,0.333,0.2,0.25,0.2,0.4,
batch_1/000053.jpg,0.288,3,8,1,4,0.438,0.273,0.75,0.4,0.75,0.667,
batch_1/000056.jpg,0.646,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000058.jpg,0.655,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000060.jpg,0.135,1,8,1,4,0.357,0.111,0.5,0.182,0.5,0.667,
batch_1/000003.jpg,0.461,1,3,0,1,0.4,0.25,1.0,0.4,1.0,0.75,
batch_1/000011.jpg,0.293,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000032.jpg,0.56,1,3,1,1,0.333,0.25,0.5,0.333,0.5,0.75,
batch_1/000040.jpg,0.335,0,5,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000043.jpg,0.734,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000049.jpg,0.61,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000054.jpg,0.85,3,1,1,1,0.667,0.75,0.75,0.75,0.75,0.5,
batch_1/000061.jpg,0.751,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000021.jpg,0.167,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000022.jpg,0.342,1,1,1,4,0.714,0.5,0.5,0.5,0.5,0.2,
batch_1/000023.jpg,0.562,5,0,2,2,0.778,1.0,0.714,0.833,0.714,0.0,
batch_1/000024.jpg,0.535,1,3,2,1,0.286,0.25,0.333,0.286,0.333,0.75,
batch_1/000027.jpg,0.362,0,6,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000028.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000030.jpg,0.143,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000031.jpg,0.707,1,4,0,2,0.429,0.2,1.0,0.333,1.0,0.667,
batch_1/000042.jpg,0.27,0,4,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000050.jpg,0.662,2,3,0,1,0.5,0.4,1.0,0.571,1.0,0.75,
batch_1/000059.jpg,0.243,3,2,1,5,0.727,0.6,0.75,0.667,0.75,0.286,
batch_1/000000.jpg,0.31,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000013.jpg,0.141,1,0,0,6,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000015.jpg,0.247,0,5,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000016.jpg,0.568,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000017.jpg,0.304,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000025.jpg,0.644,2,0,1,1,0.75,1.0,0.667,0.8,0.667,0.0,
batch_1/000029.jpg,0.539,1,1,0,2,0.75,0.5,1.0,0.667,1.0,0.333,
batch_1/000035.jpg,0.484,2,3,1,2,0.5,0.4,0.667,0.5,0.667,0.6,
batch_1/000037.jpg,0.401,0,8,5,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000045.jpg,0.312,0,15,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000038.jpg,0.956,0,3,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000065.JPG,0.467,0,5,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000066.JPG,0.485,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000067.JPG,0.366,0,9,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000068.JPG,0.088,1,2,2,2,0.429,0.333,0.333,0.333,0.333,0.5,
batch_1/000069.JPG,0.931,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000070.JPG,0.133,0,5,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000071.JPG,0.937,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000072.JPG,0.121,0,4,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000073.JPG,0.933,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000074.JPG,0.491,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000076.JPG,0.019,0,1,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000078.JPG,0.426,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000079.JPG,0.396,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000081.JPG,0.31,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000082.JPG,0.928,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000083.JPG,0.353,2,4,0,2,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000084.JPG,0.819,0,6,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000085.JPG,0.965,3,1,6,1,0.364,0.75,0.333,0.462,0.333,0.5,
batch_1/000086.JPG,0.851,1,2,2,1,0.333,0.333,0.333,0.333,0.333,0.667,
batch_1/000087.JPG,0,1,7,1,1,0.2,0.125,0.5,0.2,0.5,0.875,
batch_1/000088.JPG,0.705,0,1,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000090.JPG,0.408,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
